Code,Description,CodeType,Deprecated,Created,Modified,
35AJ,ASTRAGALE,SHIPC,False,2006-12-21,2006-12-21,
35AK,ARCO,SHIPC,False,2006-12-21,2006-12-21,
35AL,ALIDADE,SHIPC,False,2006-12-21,2006-12-21,
35AM,AMIRAL MOUCHEZ,SHIPC,False,2006-12-21,2006-12-21,
35AN,ANDRE LOUIS,SHIPC,False,2006-12-21,2006-12-21,
35AO,ARGUENON,SHIPC,False,2006-12-21,2006-12-21,
35AP,AMPHIOXUS,SHIPC,False,2006-12-21,2006-12-21,
35AQ,ARMORIQUE,SHIPC,False,2006-12-21,2012-05-03,
35AR,ARGENT,SHIPC,False,2006-12-21,2006-12-21,
35AS,ARRAS,SHIPC,False,2006-12-21,2006-12-21,
35AT,AMALTHEE,SHIPC,False,2006-12-21,2016-02-24,
35AU,SAINTE ANNE DU PORZIC,SHIPC,False,2006-12-21,2009-04-02,
35AV,AVENTURE,SHIPC,False,2006-12-21,2009-12-08,
35AW,BRISSAC,SHIPC,False,2006-12-21,2006-12-21,
35AX,ALEXANDRINE,SHIPC,False,2006-12-21,2006-12-21,
35AY,ALIS,SHIPC,False,2006-12-21,2009-07-31,
35AZ,P. AZEN,SHIPC,False,2006-12-21,2006-12-21,
35B1,ASTROLABE,SHIPC,False,2009-02-24,2017-10-14,
35B2,BEG HIR,SHIPC,False,2006-12-21,2006-12-21,
35B3,Bretagne - VENUS,SHIPC,True,2006-12-21,2016-02-18,
35B4,BORDA - LA BONITE,SHIPC,True,2006-12-21,2016-02-18,
35B5,BEAUTEMPS-BEAUPRE,SHIPC,False,2007-04-18,2016-02-24,
35B6,Beautemps-Beaupre - Alycon,SHIPC,True,2007-04-18,2014-12-04,
35B7,Laperouse,SHIPC,False,2009-03-31,2013-08-15,
35B8,BORDA,SHIPC,False,2013-12-06,2016-02-24,
35B9,BEAUTEMPS-BEAUPRE,SHIPC,False,2013-11-22,2016-02-24,
35BA,BORHA II,SHIPC,False,2006-12-21,2006-12-21,
35BB,BEAUTEMPS-BEAUPRE,SHIPC,True,2006-12-21,2018-06-12,
35BC,BECUWE,SHIPC,False,2006-12-21,2006-12-21,
35BD,EMERAUDE,SHIPC,False,2006-12-21,2006-12-21,
35BE,BERCEUSE,SHIPC,False,2006-12-21,2006-12-21,
35BF,LEDA,SHIPC,False,2006-12-21,2006-12-21,
35BG,BRIGITTE,SHIPC,False,2006-12-21,2006-12-21,
35BH,BIR HAKEIM,SHIPC,False,2006-12-21,2006-12-21,
35BI,BIDASSOA,SHIPC,False,2006-12-21,2006-12-21,
35BJ,AMIRAL CHARNER,SHIPC,False,2006-12-21,2006-12-21,
35BK,S. LOUIS II,SHIPC,False,2006-12-21,2006-12-21,
35BL,BELOUGA,SHIPC,False,2006-12-21,2006-12-21,
35BM,CEZANNE,SHIPC,False,2006-12-21,2006-12-21,
